context.source_code,biomolecule.type
C102875,DNA
C105613,DNA
C111688,receptor
C113175,DNA
C115104,unknown
C115108,RNA
C115986,unknown
C116792,protein
C116869,unknown
C116890,DNA
C117733,unknown
C118648,unknown
C121214,RNA
C121539,unknown
C121961,unknown
C124053,DNA
C126800,DNA
C128132,unknown
C129651,unknown
C131213,protein
C131368,RNA
C131434,gene
C131825,protein
C136981,protein
C137951,membrane
C139003,DNA
C142137,RNA
C146821,unknown
C147562,protein
C148280,DNA
C148511,DNA
C148522,DNA
C148531,unknown
C148635,unknown
C150508,unknown
C150717,protein
C153425,DNA
C154569,DNA
C156739,unknown
C156926,RNA
C157247,RNA
C157499,unknown
C157771,DNA
C158083,protein
C159408,unknown
C160824,unknown
C160867,RNA
C162186,RNA
C162773,unknown
C165263,unknown
C166169,protein
C166389,unknown
C167334,DNA
C169048,unknown
C170743,DNA
C170753,RNA
C173879,protein
C174128,receptor
C175469,membrane
C175941,RNA
C178643,DNA
C179302,unknown
C179581,RNA
C179607,receptor
C179620,RNA
C179638,RNA
C179639,RNA
C179685,DNA
C180409,protein
C180674,RNA
C180692,protein
C184380,RNA
C185869,RNA
C187021,DNA
C187033,DNA
C187083,unknown
C187116,DNA
C187124,RNA
C190153,DNA
C190391,RNA
C190739,protein
C198655,unknown
C200369,RNA
C201982,protein
C202248,RNA
C202862,protein
C204213,DNA
C204794,RNA
C204942,RNA
C205639,RNA
C208344,DNA
C210897,RNA
C211533,DNA
C2688,unknown
C38140,polysaccharide
C39438,unknown
C48203,unknown
C48415,unknown
C49178,DNA
C62308,unknown
C62311,unknown
C62312,unknown
C62358,unknown
C62367,unknown
C62375,unknown
C62384,membrane
C62388,unknown
C62538,unknown
C62597,protein
C62598,protein
C66943,unknown
C68566,protein
C71696,unknown
C74065,protein
C78450,RNA
C82391,protein
C82676,DNA
C82691,protein
C85476,DNA
C88264,DNA
C90534,protein
C91074,DNA
C91087,unknown
C91708,DNA
C95892,receptor
C96037,unknown
C98280,unknown
C98288,DNA
