context.source_code,nanoparticle.type,nanoparticle.surface_charge
C102875,polymeric,unknown
C105613,polymeric,unknown
C111688,lipid-based,positive
C113175,polymeric,neutral
C115104,polymeric,neutral
C115108,lipid-based,unknown
C115986,polymeric,unknown
C116792,lipid-based,unknown
C116869,lipid-based,neutral
C116890,polymeric,unknown
C117733,polymeric,unknown
C118648,polymeric,unknown
C121214,polymeric,unknown
C121539,polymeric,unknown
C121961,polymeric,unknown
C124053,polymeric,unknown
C126800,lipid-based,unknown
C128132,polymeric,neutral
C129651,metallic,unknown
C131213,polymeric,unknown
C131368,metallic,unknown
C131434,lipid-based,unknown
C131825,polymeric,unknown
C136981,lipid-based,unknown
C137951,metallic,unknown
C139003,polymeric,neutral
C142137,lipid-based,unknown
C146821,nanoparticle,unknown
C147562,polymeric,unknown
C148280,metallic,unknown
C148511,polymeric,unknown
C148522,polymeric,unknown
C148531,polymeric,neutral
C148635,polymeric,unknown
C150508,polymeric,unknown
C150717,metallic,unknown
C153425,metallic,unknown
C154569,polymeric,unknown
C156739,polymeric,neutral
C156926,lipid-based,unknown
C157247,lipid-based,unknown
C157499,polymeric,unknown
C157771,lipid-based,unknown
C158083,polymeric,unknown
C159408,polymeric,unknown
C160824,metallic,unknown
C160867,lipid-based,unknown
C162186,lipid-based,unknown
C162773,polymeric,unknown
C165263,lipid-based,unknown
C166169,polymeric,neutral
C166389,polymeric,unknown
C167334,polymeric,neutral
C169048,polymeric,neutral
C170743,lipid-based,neutral
C170753,lipid-based,unknown
C173879,polymeric,unknown
C174128,nanoparticle,unknown
C175469,lipid-based,unknown
C175941,polymeric,unknown
C178643,polymeric,unknown
C179302,polymeric,unknown
C179581,lipid-based,unknown
C179607,polymeric,unknown
C179620,lipid-based,unknown
C179638,lipid-based,unknown
C179639,lipid-based,unknown
C179685,polymeric,positive
C180409,nanoparticle,unknown
C180674,lipid-based,unknown
C180692,lipid-based,neutral
C184380,polymeric,unknown
C185869,lipid-based,unknown
C187021,silica,unknown
C187033,lipid-based,unknown
C187083,polymeric,unknown
C187116,polymeric,unknown
C187124,lipid-based,unknown
C190153,lipid-based,unknown
C190391,lipid-based,unknown
C190739,polymeric,unknown
C198655,silica,unknown
C200369,metallic,unknown
C201982,polymeric,unknown
C202248,lipid-based,unknown
C202862,polymeric,unknown
C204213,nanoparticle,unknown
C204794,lipid-based,unknown
C204942,lipid-based,unknown
C205639,lipid-based,unknown
C208344,metallic,unknown
C210897,lipid-based,unknown
C211533,polymeric,unknown
C2688,polymeric,unknown
C38140,metallic,unknown
C39438,unknown,unknown
C48203,nanoparticle,unknown
C48415,polymeric,unknown
C49178,polymeric,positive
C62308,nanoparticle,unknown
C62311,nanoparticle,unknown
C62312,polymeric,unknown
C62358,metallic,unknown
C62367,carbon-based,unknown
C62375,nanoparticle,unknown
C62384,lipid-based,unknown
C62388,nanoparticle,unknown
C62538,metallic,neutral
C62597,lipid-based,unknown
C62598,lipid-based,unknown
C66943,polymeric,unknown
C68566,metallic,unknown
C71696,polymeric,unknown
C74065,polymeric,unknown
C78450,nanoparticle,unknown
C82391,lipid-based,unknown
C82676,lipid-based,unknown
C82691,polymeric,unknown
C85476,polymeric,neutral
C88264,lipid-based,positive
C90534,lipid-based,unknown
C91074,lipid-based,unknown
C91087,polymeric,unknown
C91708,lipid-based,positive
C95892,polymeric,neutral
C96037,nanoparticle,unknown
C98280,polymeric,unknown
C98288,nanoparticle,positive
