context.source_code,surface.material,surface.charge
C102875,polymeric,negative
C105613,polymeric,unknown
C111688,peptide,positive
C113175,peg,neutral
C115104,peg,neutral
C115108,lipid-based,unknown
C115986,polymeric,unknown
C116792,lipid-based,unknown
C116869,peg,neutral
C116890,polymeric,unknown
C117733,polymeric,unknown
C118648,polymeric,unknown
C121214,anti-epidermal growth,unknown
C121539,polymeric,negative
C121961,polymeric,negative
C124053,polymeric,unknown
C126800,lipid-based,negative
C128132,peg,neutral
C129651,metallic,unknown
C131213,antibody,unknown
C131368,to gold,unknown
C131434,lipid-based,unknown
C131825,polymeric,unknown
C136981,antibody,unknown
C137951,ir700 dye,negative
C139003,peg,negative
C142137,lipid-based,unknown
C146821,nanoparticle,unknown
C147562,antibody,unknown
C148280,metallic,unknown
C148511,polymeric,unknown
C148522,antibody,unknown
C148531,peg,negative
C148635,polymeric,negative
C150508,polymeric,unknown
C150717,metallic,unknown
C153425,titania,unknown
C154569,polymeric,negative
C156739,peg,neutral
C156926,lipid-based,unknown
C157247,lipid-based,unknown
C157499,nanoscale coordination,unknown
C157771,lipid-based,unknown
C158083,antibody,unknown
C159408,polymeric,unknown
C160824,metallic,unknown
C160867,lipid-based,unknown
C162186,lipid-based,unknown
C162773,polymeric,unknown
C165263,lipid-based,negative
C166169,peg,neutral
C166389,polymeric,unknown
C167334,peg,neutral
C169048,peg,neutral
C170743,lipid-based,neutral
C170753,lipid-based,unknown
C173879,polymeric,unknown
C174128,nanoparticle,unknown
C175469,lipid-based,unknown
C175941,polymeric,unknown
C178643,polymeric,unknown
C179302,polymeric,unknown
C179581,lipid-based,unknown
C179607,polymeric,unknown
C179620,antibody,unknown
C179638,lipid-based,unknown
C179639,lipid-based,unknown
C179685,polymeric,positive
C180409,nanoparticle,unknown
C180674,antibody,unknown
C180692,peg,neutral
C184380,polymeric,unknown
C185869,lipid-based,unknown
C187021,silica,unknown
C187033,lipid-based,unknown
C187083,polymeric,unknown
C187116,camptothecin dan-222,negative
C187124,antibody,unknown
C190153,lipid-based,unknown
C190391,lipid-based,unknown
C190739,antibody,unknown
C198655,silica,unknown
C200369,to ultrasmall,unknown
C201982,polymeric,unknown
C202248,lipid-based,unknown
C202862,peptide,negative
C204213,nanoparticle,unknown
C204794,lipid-based,unknown
C204942,lipid-based,negative
C205639,lipid-based,unknown
C208344,dextran,unknown
C210897,lipid-based,unknown
C211533,polymeric,unknown
C2688,polymeric,unknown
C38140,iron-oxide,negative
C39438,unknown,unknown
C48203,nanoparticle,unknown
C48415,polymeric,unknown
C49178,peg,positive
C62308,nanoparticle,unknown
C62311,nanoparticle,unknown
C62312,polymeric,unknown
C62358,metallic,unknown
C62367,carbon-based,unknown
C62375,surrounding a,unknown
C62384,lipid-based,unknown
C62388,nanoparticle,unknown
C62538,peg,negative
C62597,peptide,unknown
C62598,peptide,unknown
C66943,polymeric,unknown
C68566,peptide,unknown
C71696,polymeric,unknown
C74065,polymeric,unknown
C78450,nanoparticle,unknown
C82391,lipid-based,unknown
C82676,peg,unknown
C82691,polymeric,unknown
C85476,peg,neutral
C88264,lipid-based,positive
C90534,lipid-based,unknown
C91074,n-glutaryl phosphatidylethanolamine,unknown
C91087,polymeric,unknown
C91708,lipid-based,positive
C95892,peg,neutral
C96037,nanoparticle,unknown
C98280,polymeric,negative
C98288,nanoparticle,positive
